file,field_path,non_null_count,record_count,presence_fraction
MimicEncounterED.ndjson.gz,class.system,222,222,1.0
MimicEncounterED.ndjson.gz,class.display,222,222,1.0
MimicEncounterED.ndjson.gz,partOf.reference,172,222,0.7747747747747747
MimicEncounterED.ndjson.gz,period.end,222,222,1.0
MimicEncounterED.ndjson.gz,period.start,222,222,1.0
MimicEncounterED.ndjson.gz,status,222,222,1.0
MimicEncounterED.ndjson.gz,subject.reference,222,222,1.0
MimicEncounterED.ndjson.gz,identifier[0].use,222,222,1.0
MimicEncounterED.ndjson.gz,identifier[0].value,222,222,1.0
MimicEncounterED.ndjson.gz,identifier[0].system,222,222,1.0
MimicEncounterED.ndjson.gz,identifier[0].assigner.reference,222,222,1.0
MimicEncounterED.ndjson.gz,resourceType,222,222,1.0
MimicEncounterED.ndjson.gz,hospitalization.admitSource.coding[0].code,222,222,1.0
MimicEncounterED.ndjson.gz,hospitalization.admitSource.coding[0].system,222,222,1.0
MimicEncounterED.ndjson.gz,hospitalization.dischargeDisposition.coding[0].code,222,222,1.0
MimicEncounterED.ndjson.gz,hospitalization.dischargeDisposition.coding[0].system,222,222,1.0
MimicEncounterED.ndjson.gz,serviceProvider.reference,222,222,1.0
MimicEncounterICU.ndjson.gz,id,140,140,1.0
MimicEncounterICU.ndjson.gz,meta.profile[0],140,140,1.0
MimicEncounterICU.ndjson.gz,type[0].coding[0].code,140,140,1.0
MimicEncounterICU.ndjson.gz,type[0].coding[0].system,140,140,1.0
MimicEncounterICU.ndjson.gz,type[0].coding[0].display,140,140,1.0
MimicEncounterICU.ndjson.gz,class.code,140,140,1.0
MimicEncounterICU.ndjson.gz,class.system,140,140,1.0
MimicEncounterICU.ndjson.gz,partOf.reference,140,140,1.0
MimicEncounterICU.ndjson.gz,period.end,140,140,1.0
MimicEncounterICU.ndjson.gz,period.start,140,140,1.0
MimicEncounterICU.ndjson.gz,status,140,140,1.0
MimicEncounterICU.ndjson.gz,subject.reference,140,140,1.0
MimicEncounterICU.ndjson.gz,location[0].period.end,140,140,1.0
MimicEncounterICU.ndjson.gz,location[0].period.start,140,140,1.0
MimicEncounterICU.ndjson.gz,location[0].location.reference,140,140,1.0
MimicEncounterICU.ndjson.gz,identifier[0].value,140,140,1.0
MimicEncounterICU.ndjson.gz,identifier[0].system,140,140,1.0
MimicEncounterICU.ndjson.gz,resourceType,140,140,1.0
MimicEncounterICU.ndjson.gz,location[1].period.end,11,140,0.07857142857142857
MimicEncounterICU.ndjson.gz,location[1].period.start,11,140,0.07857142857142857
MimicEncounterICU.ndjson.gz,location[1].location.reference,11,140,0.07857142857142857
MimicMedication.ndjson.gz,id,1480,1480,1.0
MimicMedication.ndjson.gz,code.coding[0].code,1480,1480,1.0
MimicMedication.ndjson.gz,code.coding[0].system,1480,1480,1.0
MimicMedication.ndjson.gz,meta.profile[0],1480,1480,1.0
MimicMedication.ndjson.gz,status,1480,1480,1.0
MimicMedication.ndjson.gz,identifier[0].value,1480,1480,1.0
MimicMedication.ndjson.gz,identifier[0].system,1480,1480,1.0
MimicMedication.ndjson.gz,identifier[1].value,1474,1480,0.995945945945946
MimicMedication.ndjson.gz,identifier[1].system,1474,1480,0.995945945945946
MimicMedication.ndjson.gz,identifier[2].value,1402,1480,0.9472972972972973
MimicMedication.ndjson.gz,identifier[2].system,1402,1480,0.9472972972972973
MimicMedication.ndjson.gz,resourceType,1480,1480,1.0
MimicMedicationAdministration.ndjson.gz,id,36131,36131,1.0
MimicMedicationAdministration.ndjson.gz,meta.profile[0],36131,36131,1.0
MimicMedicationAdministration.ndjson.gz,dosage.dose.code,32503,36131,0.899587611746146
MimicMedicationAdministration.ndjson.gz,dosage.dose.unit,32503,36131,0.899587611746146
MimicMedicationAdministration.ndjson.gz,dosage.dose.value,32523,36131,0.9001411530264869
MimicMedicationAdministration.ndjson.gz,dosage.dose.system,32523,36131,0.9001411530264869
MimicMedicationAdministration.ndjson.gz,dosage.text,32523,36131,0.9001411530264869
MimicMedicationAdministration.ndjson.gz,dosage.method.coding[0].code,32180,36131,0.8906479200686391
MimicMedicationAdministration.ndjson.gz,dosage.method.coding[0].system,32180,36131,0.8906479200686391
MimicMedicationAdministration.ndjson.gz,status,36131,36131,1.0
MimicMedicationAdministration.ndjson.gz,context.reference,35072,36131,0.9706899892059451
MimicMedicationAdministration.ndjson.gz,request.reference,35026,36131,0.9694168442611608
