file,resource_type,method,column,non_null_count,non_null_fraction
MimicEncounter.ndjson.gz,Encounter,generic_json_normalize,priority.coding,275,1.0
MimicEncounter.ndjson.gz,Encounter,generic_json_normalize,serviceType.coding,275,1.0
MimicEncounter.ndjson.gz,Encounter,generic_json_normalize,hospitalization.admitSource.coding,275,1.0
MimicEncounter.ndjson.gz,Encounter,generic_json_normalize,hospitalization.dischargeDisposition.coding,233,0.8472727272727273
MimicEncounter.ndjson.gz,Encounter,generic_json_normalize,serviceProvider.reference,275,1.0
MimicEncounterED.ndjson.gz,Encounter,fhiry_compact,resourceType,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhiry_compact,id,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhiry_compact,status,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhiry_compact,class_code,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhiry_compact,subject_ref,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhiry_compact,period_start,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhiry_compact,period_end,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhiry_compact,service_provider_ref,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhirpack_frame,id,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhirpack_frame,meta,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhirpack_frame,type,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhirpack_frame,class,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhirpack_frame,partOf,172,0.7747747747747747
MimicEncounterED.ndjson.gz,Encounter,fhirpack_frame,period,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhirpack_frame,status,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhirpack_frame,subject,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhirpack_frame,identifier,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhirpack_frame,resourceType,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhirpack_frame,hospitalization,222,1.0
MimicEncounterED.ndjson.gz,Encounter,fhirpack_frame,serviceProvider,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,id,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,type,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,status,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,identifier,222,1.0
