method,files_processed,total_resources,total_columns_across_files,total_non_null_cells,total_cells,total_runtime_seconds,mean_missing_fraction,overall_non_null_fraction,column_ratio_vs_generic,column_ratio_vs_fhirpack
fhirpack_frame,16,858025,171,9768408,11483639,2.4856652039743485,0.043567531802934184,0.8506369801419219,0.8769230769230769,1.0
fhiry_compact,16,858025,150,8771521,10721492,14.355846589009161,0.1411983808570837,0.8181250333442398,0.7692307692307693,0.8771929824561403
generic_json_normalize,16,858025,195,10804696,14123076,17.19390458000271,0.05404866299361709,0.7650384378020766,1.0,1.1403508771929824
